"act","time_range","stage","day","start_time","end_time","date","act_name_short","act_order","index","time_position","datetime"
"EMMA-JEAN THACKRAY","12:30 - 13:30","WEST HOLTS STAGE","SUNDAY","12:30","13:30",2022-07-03,"EMMA-JEAN THACKRAY",2,63,"start_datetime",2022-07-03 12:30:00
"EMMA-JEAN THACKRAY","12:30 - 13:30","WEST HOLTS STAGE","SUNDAY","12:30","13:30",2022-07-03,"EMMA-JEAN THACKRAY",2,63,"end_datetime",2022-07-03 13:30:00
"NIGHTMARES ON WAX","14:00 - 15:00","WEST HOLTS STAGE","SUNDAY","14:00","15:00",2022-07-03,"NIGHTMARES ON WAX",3,64,"start_datetime",2022-07-03 14:00:00
"NIGHTMARES ON WAX","14:00 - 15:00","WEST HOLTS STAGE","SUNDAY","14:00","15:00",2022-07-03,"NIGHTMARES ON WAX",3,64,"end_datetime",2022-07-03 15:00:00
"NUBYA GARCIA","15:30 - 16:30","WEST HOLTS STAGE","SUNDAY","15:30","16:30",2022-07-03,"NUBYA GARCIA",4,65,"start_datetime",2022-07-03 15:30:00
"NUBYA GARCIA","15:30 - 16:30","WEST HOLTS STAGE","SUNDAY","15:30","16:30",2022-07-03,"NUBYA GARCIA",4,65,"end_datetime",2022-07-03 16:30:00
"SNARKY PUPPY","17:00 - 18:00","WEST HOLTS STAGE","SUNDAY","17:00","18:00",2022-07-03,"SNARKY PUPPY",5,66,"start_datetime",2022-07-03 17:00:00
"SNARKY PUPPY","17:00 - 18:00","WEST HOLTS STAGE","SUNDAY","17:00","18:00",2022-07-03,"SNARKY PUPPY",5,66,"end_datetime",2022-07-03 18:00:00
"KOFFEE","18:30 - 19:30","WEST HOLTS STAGE","SUNDAY","18:30","19:30",2022-07-03,"KOFFEE",6,67,"start_datetime",2022-07-03 18:30:00
"KOFFEE","18:30 - 19:30","WEST HOLTS STAGE","SUNDAY","18:30","19:30",2022-07-03,"KOFFEE",6,67,"end_datetime",2022-07-03 19:30:00
"ANGELIQUE KIDJO","20:00 - 21:00","WEST HOLTS STAGE","SUNDAY","20:00","21:00",2022-07-03,"ANGELIQUE KIDJO",7,68,"start_datetime",2022-07-03 20:00:00
"ANGELIQUE KIDJO","20:00 - 21:00","WEST HOLTS STAGE","SUNDAY","20:00","21:00",2022-07-03,"ANGELIQUE KIDJO",7,68,"end_datetime",2022-07-03 21:00:00
"BICEP","21:45 - 23:15","WEST HOLTS STAGE","SUNDAY","21:45","23:15",2022-07-03,"BICEP",8,69,"start_datetime",2022-07-03 21:45:00
"BICEP","21:45 - 23:15","WEST HOLTS STAGE","SUNDAY","21:45","23:15",2022-07-03,"BICEP",8,69,"end_datetime",2022-07-03 23:15:00
"ENGLISH TEACHER","11:30 - 12:15","JOHN PEEL STAGE","FRIDAY","11:30","12:15",2022-07-01,"ENGLISH TEACHER",1,70,"start_datetime",2022-07-01 11:30:00
"ENGLISH TEACHER","11:30 - 12:15","JOHN PEEL STAGE","FRIDAY","11:30","12:15",2022-07-01,"ENGLISH TEACHER",1,70,"end_datetime",2022-07-01 12:15:00
"BAD BOY CHILLER CREW","12:45 - 13:30","JOHN PEEL STAGE","FRIDAY","12:45","13:30",2022-07-01,"BAD BOY CHILLER CREW",2,71,"start_datetime",2022-07-01 12:45:00
"BAD BOY CHILLER CREW","12:45 - 13:30","JOHN PEEL STAGE","FRIDAY","12:45","13:30",2022-07-01,"BAD BOY CHILLER CREW",2,71,"end_datetime",2022-07-01 13:30:00
"GRIFF","14:00 - 14:45","JOHN PEEL STAGE","FRIDAY","14:00","14:45",2022-07-01,"GRIFF",3,72,"start_datetime",2022-07-01 14:00:00
"GRIFF","14:00 - 14:45","JOHN PEEL STAGE","FRIDAY","14:00","14:45",2022-07-01,"GRIFF",3,72,"end_datetime",2022-07-01 14:45:00
"INHALER","15:15 - 16:00","JOHN PEEL STAGE","FRIDAY","15:15","16:00",2022-07-01,"INHALER",4,73,"start_datetime",2022-07-01 15:15:00
"INHALER","15:15 - 16:00","JOHN PEEL STAGE","FRIDAY","15:15","16:00",2022-07-01,"INHALER",4,73,"end_datetime",2022-07-01 16:00:00
"GIRL IN RED","16:30 - 17:30","JOHN PEEL STAGE","FRIDAY","16:30","17:30",2022-07-01,"GIRL IN RED",5,74,"start_datetime",2022-07-01 16:30:00
"GIRL IN RED","16:30 - 17:30","JOHN PEEL STAGE","FRIDAY","16:30","17:30",2022-07-01,"GIRL IN RED",5,74,"end_datetime",2022-07-01 17:30:00
"SIGRID","18:00 - 19:00","JOHN PEEL STAGE","FRIDAY","18:00","19:00",2022-07-01,"SIGRID",6,75,"start_datetime",2022-07-01 18:00:00
"SIGRID","18:00 - 19:00","JOHN PEEL STAGE","FRIDAY","18:00","19:00",2022-07-01,"SIGRID",6,75,"end_datetime",2022-07-01 19:00:00
"PHOEBE BRIDGERS","19:30 - 20:30","JOHN PEEL STAGE","FRIDAY","19:30","20:30",2022-07-01,"PHOEBE BRIDGERS",7,76,"start_datetime",2022-07-01 19:30:00
"PHOEBE BRIDGERS","19:30 - 20:30","JOHN PEEL STAGE","FRIDAY","19:30","20:30",2022-07-01,"PHOEBE BRIDGERS",7,76,"end_datetime",2022-07-01 20:30:00
"THE JESUS AND MARY CHAIN","21:00 - 22:00","JOHN PEEL STAGE","FRIDAY","21:00","22:00",2022-07-01,"THE JESUS AND MARY C",8,77,"start_datetime",2022-07-01 21:00:00
